Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-lungenfunktion.json	58089	-	0	0	0	0	0	0	14	66	0	0	0	0	0	0	0	1	0	0	27	218	503	0	0	0	5	0	2
fsh-generated/resources/CapabilityStatement-mii-cps-lungenfunktion-capabilitystatement.json	57005	12	0	0	1	0	0	0	5	628	0	0	0	0	0	0	0	0	0	0	14	139	183	0	1	0	3	0	0
fsh-generated/resources/DiagnosticReport-mii-exa-lungenfunktion-bodyplethysmographie-befund.json	2551	4	0	0	0	0	0	0	0	18340	0	0	0	0	0	0	0	1	0	0	7	23	146	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-mii-exa-lungenfunktion-diffusion-befund.json	1940	2	0	0	0	0	0	0	0	11812	0	0	0	0	0	0	0	0	0	0	6	17	34	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-mii-exa-lungenfunktion-provokationstest-befund.json	3194	3	0	0	0	0	0	0	0	20012	0	0	0	0	0	0	0	0	0	0	5	30	75	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-mii-exa-lungenfunktion-spirometrie-befund.json	2142	3	0	0	0	0	0	0	1	16396	0	0	0	0	0	0	0	0	0	0	5	20	55	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-lungenfunktion-kontakt.json	309	2	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	5	5	30	0	0	0	0	0	0
fsh-generated/resources/Location-mii-exa-lungenfunktion-location.json	700	1	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	5	6	12	0	0	0	0	0	0
fsh-generated/resources/Medication-mii-exa-lungenfunktion-methacholine.json	1438	2	0	0	0	0	0	0	0	1824	0	0	0	0	0	0	0	0	0	0	4	8	50	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-mii-exa-lungenfunktion-dosis-gabe-1.json	759	2	0	0	0	0	0	0	0	922	0	0	0	0	0	0	0	0	0	0	5	7	35	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-mii-exa-lungenfunktion-dosis-gabe-2.json	759	2	0	0	0	0	0	0	0	892	0	0	0	0	0	0	0	0	0	0	4	8	18	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-mii-exa-lungenfunktion-dosis-gabe-3.json	759	2	0	0	0	0	0	0	0	928	0	0	0	0	0	0	0	0	0	0	4	7	23	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-bf.json	1652	1	0	0	0	0	0	0	0	917	0	0	0	0	0	0	0	0	0	0	5	8	84	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-co2.json	1066	2	0	0	0	0	0	0	0	899	0	0	0	0	0	0	0	0	0	0	5	7	20	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-dlco.json	2772	2	0	0	0	0	0	0	1	3645	0	0	0	0	0	0	0	0	0	0	4	13	102	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-dlcoc.json	2943	2	0	0	0	0	0	0	0	3666	0	0	0	0	0	0	0	0	0	0	4	13	109	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-dosis-kumuliert.json	1617	2	0	0	0	0	0	0	0	893	0	0	0	0	0	0	0	0	0	0	4	10	126	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-dosis-schwellwert.json	1429	1	0	0	0	0	0	0	0	914	0	0	0	0	0	0	0	0	0	0	4	10	20	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-erv.json	2404	2	0	0	0	0	0	0	0	4573	0	0	0	0	0	0	0	0	0	0	4	11	17	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-fev1-b.json	2018	2	0	0	0	0	0	0	1	1824	0	0	0	0	0	0	0	0	0	0	4	10	18	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-fev1-fvc.json	2839	2	0	0	0	0	0	0	0	2730	0	0	0	0	0	0	0	0	0	0	3	12	22	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-fev1-p3.json	2114	2	0	0	0	0	0	0	0	1825	0	0	0	0	0	0	0	0	0	0	4	10	18	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-fev1-p4.json	2114	2	0	0	0	0	0	0	0	1817	0	0	0	0	0	0	0	0	0	0	4	10	18	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-fev1-p5.json	2114	2	0	0	0	0	0	0	0	1820	0	0	0	0	0	0	0	0	0	0	4	11	19	0	0	0	0	0	1
fsh-generated/resources/Observation-mii-exa-lungenfunktion-fev1.json	3074	2	0	0	0	0	0	0	1	3623	0	0	0	0	0	0	0	0	0	0	4	12	42	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-frc-b.json	1787	1	0	0	0	0	0	0	0	1827	0	0	0	0	0	0	0	0	0	0	4	9	21	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-frc-p3.json	1883	2	0	0	0	0	0	0	0	1825	0	0	0	0	0	0	0	0	0	0	4	10	41	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-frc-p4.json	1883	2	0	0	0	0	0	0	0	1809	0	0	0	0	0	0	0	0	0	0	4	10	19	0	0	1	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-frc-p5.json	1883	1	0	0	0	0	0	0	0	1812	0	0	0	0	0	0	0	0	0	0	4	10	91	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-frc.json	2748	2	0	0	0	0	0	0	1	3630	0	0	0	0	0	0	0	0	0	0	4	12	19	0	0	0	0	0	0
