Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-lungenfunktion.json	58046	-	0	0	0	0	0	0	15	82	0	0	0	0	0	0	0	1	0	0	32	187	1184	0	0	0	4	0	2
fsh-generated/resources/CapabilityStatement-mii-cps-lungenfunktion-capabilitystatement.json	56907	8	0	0	1	0	0	0	3	648	0	0	0	0	0	0	0	1	0	0	15	111	221	0	0	0	4	0	1
fsh-generated/resources/DiagnosticReport-mii-exa-lungenfunktion-bodyplethysmographie-befund.json	2551	1	0	0	0	0	0	0	1	15585	0	0	0	0	0	0	0	0	0	0	6	15	120	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-mii-exa-lungenfunktion-diffusion-befund.json	1940	2	0	0	0	0	0	0	0	9941	0	0	0	0	0	0	0	0	0	0	6	10	71	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-mii-exa-lungenfunktion-provokationstest-befund.json	3194	1	0	0	0	0	0	0	0	16802	0	0	0	0	0	0	0	0	0	0	6	18	107	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-mii-exa-lungenfunktion-spirometrie-befund.json	2142	2	0	0	0	0	0	0	0	13736	0	0	0	0	0	0	0	0	0	0	5	12	65	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-lungenfunktion-kontakt.json	309	1	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	6	4	12	0	0	0	0	0	0
fsh-generated/resources/Location-mii-exa-lungenfunktion-location.json	700	1	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	5	5	10	0	0	0	0	0	0
fsh-generated/resources/Medication-mii-exa-lungenfunktion-methacholine.json	1438	1	0	0	0	0	0	0	1	1521	0	0	0	0	0	0	0	0	0	0	6	7	14	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-mii-exa-lungenfunktion-dosis-gabe-1.json	759	1	0	0	0	0	0	0	0	718	0	0	0	0	0	0	0	0	0	0	6	8	28	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-mii-exa-lungenfunktion-dosis-gabe-2.json	759	1	0	0	0	0	0	0	0	766	0	0	0	0	0	0	0	0	0	0	5	6	24	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-mii-exa-lungenfunktion-dosis-gabe-3.json	759	2	0	0	0	0	0	0	0	765	0	0	0	0	0	0	0	0	0	0	5	6	23	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-bf.json	1652	1	0	0	0	0	0	0	0	766	0	0	0	0	0	0	0	0	0	0	6	7	25	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-co2.json	1066	1	0	0	0	0	0	0	0	773	0	0	0	0	0	0	0	0	0	0	6	7	19	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-dlco.json	2772	1	0	0	0	0	0	0	0	3057	0	0	0	0	0	0	0	0	0	0	5	10	30	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-dlcoc.json	2943	2	0	0	0	0	0	0	0	3043	0	0	0	0	0	0	0	0	0	0	5	12	32	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-dosis-kumuliert.json	1617	1	0	0	0	0	0	0	1	774	0	0	0	0	0	0	0	0	0	0	5	8	36	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-dosis-schwellwert.json	1429	1	0	0	0	0	0	0	0	789	0	0	0	0	0	0	0	0	0	0	6	7	26	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-erv.json	2404	2	0	0	0	0	0	0	0	3886	0	0	0	0	0	0	0	0	0	0	5	7	18	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-fev1-b.json	2018	1	0	0	0	0	0	0	0	1563	0	0	0	0	0	0	0	0	0	0	5	6	21	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-fev1-fvc.json	2839	1	0	0	0	0	0	0	0	2339	0	0	0	0	0	0	0	0	0	0	5	7	32	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-fev1-p3.json	2114	2	0	0	0	0	0	0	1	1469	0	0	0	0	0	0	0	0	0	0	5	6	25	0	0	0	0	0	1
fsh-generated/resources/Observation-mii-exa-lungenfunktion-fev1-p4.json	2114	1	0	0	0	0	0	0	0	1494	0	0	0	0	0	0	0	0	0	0	6	8	26	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-fev1-p5.json	2114	1	0	0	0	0	0	0	0	1534	0	0	0	0	0	0	0	0	0	0	5	7	26	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-fev1.json	3074	2	0	0	1	0	0	0	0	3023	0	0	0	0	0	0	0	0	0	0	5	8	22	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-frc-b.json	1787	1	0	0	0	0	0	0	0	1495	0	0	0	0	0	0	0	0	0	0	5	8	19	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-frc-p3.json	1883	1	0	0	0	0	0	0	1	1524	0	0	0	0	0	0	0	0	0	0	6	9	26	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-frc-p4.json	1883	1	0	0	0	0	0	0	0	1484	0	0	0	0	0	0	0	0	0	0	5	10	25	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-frc-p5.json	1883	1	0	0	0	0	0	0	0	1510	0	0	0	0	0	0	0	0	0	0	6	9	26	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-frc.json	2748	2	0	0	0	0	0	0	0	3038	0	0	0	0	0	0	0	0	0	0	5	10	20	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-fvc.json	3042	1	0	0	0	0	0	0	0	3021	0	0	0	0	0	0	0	0	0	0	5	10	21	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-hb.json	1716	1	0	0	0	0	0	0	0	2255	0	0	0	0	0	0	0	0	0	0	6	6	21	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-ic.json	2373	1	0	0	0	0	0	0	1	3095	0	0	0	0	0	0	0	0	0	0	5	7	21	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-kco.json	2947	2	0	0	0	0	0	0	0	3020	0	0	0	0	0	0	0	0	0	0	3	7	31	1	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-kcoc.json	2950	1	0	0	0	0	0	0	0	3089	0	0	0	0	0	0	0	0	0	0	3	8	24	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-luftfeuchtigkeit.json	1052	1	0	0	0	0	0	0	0	748	0	0	0	0	0	0	0	0	0	0	2	6	13	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-lufttemperatur.json	1068	1	0	0	0	0	0	0	0	771	0	0	0	0	0	0	0	0	0	0	3	5	12	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-mef25.json	2911	1	0	0	0	0	0	0	1	3026	0	0	0	0	0	0	0	0	0	0	3	7	14	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-mef50.json	2911	2	0	0	0	0	0	0	0	3103	0	0	0	0	0	0	0	0	0	0	2	7	14	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-mef75.json	2911	1	0	0	0	0	0	0	0	3072	0	0	0	0	0	0	0	0	0	0	3	7	14	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-pef-b.json	2005	1	0	0	0	0	0	0	0	1539	0	0	0	0	0	0	0	0	0	0	2	6	13	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-pef-p3.json	2096	1	0	0	0	0	0	0	1	1508	0	0	0	0	0	0	0	0	0	0	3	6	17	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-pef-p4.json	2096	1	0	0	0	0	0	0	0	1547	0	0	0	0	0	0	0	0	0	0	3	6	17	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-pef-p5.json	2096	1	0	0	0	0	0	0	0	1523	0	0	0	0	0	0	0	0	0	0	2	7	17	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-pef.json	3060	2	0	0	0	0	0	0	0	3042	0	0	0	0	0	0	0	0	0	0	3	7	14	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-r-b.json	1810	1	0	0	0	0	0	0	0	1527	0	0	0	0	0	0	0	0	0	0	2	5	13	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-r-p3.json	1910	1	0	0	0	0	0	0	0	1528	0	0	0	0	0	0	0	1	0	0	3	6	17	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-r-p4.json	1910	1	0	0	0	0	0	0	1	1559	0	0	0	0	0	0	0	0	0	0	2	8	16	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-r-p5.json	1910	1	0	0	0	0	0	0	0	1517	0	0	0	0	0	0	0	0	0	0	3	8	15	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-r.json	2188	1	0	0	0	0	0	0	0	2278	0	0	0	0	0	0	0	0	0	0	2	6	14	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-rv-tlc.json	3051	2	0	0	0	0	0	0	0	3036	0	0	0	0	0	0	0	0	0	0	3	8	21	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-rv.json	2711	1	0	0	0	0	0	0	0	3071	0	0	0	0	0	0	0	0	0	0	2	7	15	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-sg-total.json	2313	1	0	0	0	0	0	0	1	2301	0	0	0	0	0	0	0	0	0	0	2	6	13	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-sr-eff.json	2194	2	0	0	0	0	0	0	0	2256	0	0	0	0	0	0	0	0	0	0	2	6	14	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-sr-total-b.json	1821	1	0	0	0	0	0	0	0	1564	0	0	0	0	0	0	0	0	0	0	2	5	13	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-sr-total-p3.json	1917	1	0	0	0	0	0	0	0	1513	0	0	0	0	0	0	0	0	0	0	2	6	16	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-sr-total-p4.json	1917	1	0	0	0	0	0	0	0	1499	0	0	0	0	0	0	0	0	0	0	3	6	19	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-sr-total-p5.json	1916	1	0	0	0	0	0	0	1	1531	0	0	0	0	0	0	0	0	0	0	2	6	19	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-sr-total.json	2199	1	0	0	0	0	0	0	0	2296	0	0	0	0	0	0	0	0	0	0	2	8	13	0	0	0	0	0	1
fsh-generated/resources/Observation-mii-exa-lungenfunktion-tlc.json	2839	2	0	0	0	0	0	0	0	3049	0	0	0	0	0	0	0	0	0	0	2	7	15	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-va.json	2851	1	0	0	0	0	0	0	0	3008	0	0	0	0	0	0	0	0	0	0	2	7	14	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-vc.json	2947	1	0	0	0	0	0	0	0	3059	0	0	0	0	0	0	0	0	0	0	2	8	14	0	0	0	0	0	0
fsh-generated/resources/Patient-mii-exa-lungenfunktion-patient.json	232	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	6	0	0	0	0	0	0
fsh-generated/resources/Procedure-mii-exa-lungenfunktion-bodyplethysmographie-messung.json	1458	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	6	18	0	0	0	0	0	0
fsh-generated/resources/Procedure-mii-exa-lungenfunktion-diffusion-messung.json	1445	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	6	16	0	0	0	0	0	0
fsh-generated/resources/Procedure-mii-exa-lungenfunktion-provokationstest-messung.json	1443	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	7	15	0	0	0	0	0	0
fsh-generated/resources/Procedure-mii-exa-lungenfunktion-spirometrie-messung.json	1416	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	5	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-lm-lungenfunktion.json	44347	7	0	63	0	0	0	0	0	397	0	0	1	0	0	0	0	1	0	0	4	270	1527	0	1	0	9	0	2
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-1-viskositaet.json	60209	9	0	104	0	0	0	0	0	120	0	0	0	0	0	0	0	3	0	0	2	415	4974	0	0	0	17	0	7
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-befund.json	42469	6	0	45	0	0	0	0	0	49	0	0	1	0	0	0	0	0	0	0	1	207	750	0	0	0	8	0	3
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-bf.json	50993	8	0	121	0	0	0	0	0	100	0	0	0	0	0	0	0	3	0	0	1	404	2458	0	0	0	16	1	6
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-bodyplethysmographie-messung.json	11821	3	0	139	0	0	0	0	0	42	0	0	1	0	0	0	0	2	0	0	0	221	946	0	0	0	10	0	3
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-bodyplethysmographie.json	11550	2	0	50	0	0	0	0	1	39	0	0	0	0	0	0	0	1	0	0	0	203	591	0	0	0	7	0	4
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-co2-konzentration.json	21306	4	0	52	0	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0	1	194	843	0	0	0	9	0	3
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-diffusion-messung.json	11755	2	0	87	0	0	0	0	0	32	0	0	1	0	0	0	0	2	0	0	0	219	1006	0	0	0	9	0	4
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-diffusion.json	9125	2	0	44	1	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	1	176	737	0	0	0	7	0	3
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-diffusionskapazitaet.json	60301	9	0	130	0	0	0	0	0	73	0	0	0	0	0	0	0	2	0	0	1	409	1125	0	0	0	17	0	6
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-dlco.json	5709	2	0	77	0	0	0	0	0	52	0	0	0	0	0	0	0	2	0	0	1	268	1967	0	0	0	12	0	4
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-dlcoc.json	5852	2	0	71	0	0	0	0	0	43	0	0	1	0	0	0	0	2	0	0	0	278	1371	0	0	0	11	0	5
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-dosis-gabe.json	8437	2	0	131	0	0	0	0	0	33	0	0	0	0	0	0	0	2	0	0	0	213	822	0	0	0	9	1	4
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-dosis.json	7804	2	0	50	0	0	0	0	0	34	0	0	0	0	0	0	0	2	0	0	1	202	554	0	0	0	8	0	2
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-fev-fvc.json	5820	2	0	124	0	0	0	1	0	37	0	0	1	0	0	0	0	2	0	0	0	271	1823	0	0	0	11	0	5
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-fev.json	5301	1	0	109	0	0	0	0	0	33	0	0	0	0	0	0	0	2	0	0	0	242	1979	0	0	0	10	0	4
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-fluss.json	60153	64	0	83	0	0	0	0	0	66	0	0	0	0	0	0	0	2	0	0	1	406	852	0	0	0	17	0	6
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-frc.json	5292	2	0	69	0	0	0	0	0	39	0	0	1	0	0	0	0	2	0	0	0	270	1310	0	0	0	11	0	5
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-fvc.json	5287	2	0	121	0	0	0	0	1	35	0	0	0	0	0	0	0	2	0	0	0	242	1803	0	0	0	11	1	5
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-gewicht.json	60166	7	0	101	0	0	1	0	0	159	0	0	0	0	0	0	0	2	0	0	1	406	929	0	0	0	17	0	5
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-hb.json	38435	5	0	98	0	0	0	0	0	46	0	0	0	0	0	0	0	2	0	0	0	278	670	0	0	0	11	0	5
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-ic.json	5344	1	0	104	0	0	0	0	0	30	0	0	1	0	0	0	0	2	0	0	0	263	1312	0	0	0	11	0	4
fsh-generated/resources/StructureDefinition-mii-pr-lungenfunktion-irv-erv.json	5227	2	0	69	0	0	0	0	0	36	0	0	0	0	0	0	0	2	0	0	0	306	1819	0	0	0	12	0	5
