URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.de/ValueSet/UcumVitalsCommonDE,1.5.4,active,,UCUM_Vitals_Common_DE,UCUM Vitals Common DE,"Alle innerhalb der VitalSign Profile (DE) erlaubten UCUM Einheiten für value[x]","StructureDefinition/mii-pr-lungenfunktion-bf","UCUM"
http://fhir.de/ValueSet/VitalSignDE-Atemfrequenz-SNOMED-CT,1.5.4,active,,VitalSignDE_Atemfrequenz_SNOMED_CT,VitalSignDE_Atemfrequenz_SNOMED_CT,"VitalSignDE_Atemfrequenz_SNOMED_CT enthält die erwarteten $sct Codes für Atemfrequenz","StructureDefinition/mii-pr-lungenfunktion-bf","SCT"
http://hl7.org/fhir/ValueSet/administration-method-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/mii-pr-lungenfunktion-dosis-gabe","SCT"
http://hl7.org/fhir/ValueSet/approach-site-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.346",SNOMEDCTAnatomicalStructureForAdministrationSiteCodes,SNOMED CT Anatomical Structure for Administration Site Codes,"This value set includes Anatomical Structure codes from SNOMED CT - provided as an exemplar.","StructureDefinition/mii-pr-lungenfunktion-dosis-gabe","SCT"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/mii-pr-lungenfunktion-rvl,StructureDefinition/mii-pr-lungenfunktion-gewicht,StructureDefinition/mii-pr-lungenfunktion-kcoc,StructureDefinition/mii-pr-lungenfunktion-spirometrie-messung,StructureDefinition/mii-pr-lungenfunktion-prozent,StructureDefinition/mii-pr-lungenfunktion-tlc,StructureDefinition/mii-pr-lungenfunktion-irv,StructureDefinition/mii-pr-lungenfunktion-sg-total,StructureDefinition/mii-pr-lungenfunktion-viskositaet,StructureDefinition/mii-pr-lungenfunktion-bodyplethysmographie-messung,StructureDefinition/mii-pr-lungenfunktion-va,StructureDefinition/mii-pr-lungenfunktion-r,StructureDefinition/mii-pr-lungenfunktion-vc,StructureDefinition/mii-pr-lungenfunktion-r-spezifisch,StructureDefinition/mii-pr-lungenfunktion-diffusionskapazitaet,StructureDefinition/mii-pr-lungenfunktion-hb,StructureDefinition/mii-pr-lungenfunktion-dlco,StructureDefinition/mii-pr-lungenfunktion-co2-konzentration,StructureDefinition/mii-pr-lungenfunktion-1-viskositaet,StructureDefinition/mii-pr-lungenfunktion-diffusion-messung,StructureDefinition/mii-pr-lungenfunktion-volumen,StructureDefinition/mii-pr-lungenfunktion-bf,StructureDefinition/mii-pr-lungenfunktion-mef,StructureDefinition/mii-pr-lungenfunktion-rvl-tlc,StructureDefinition/mii-pr-lungenfunktion-dosis,StructureDefinition/mii-pr-lungenfunktion-lufttemperatur,StructureDefinition/mii-pr-lungenfunktion-provokationstest-messung,StructureDefinition/mii-pr-lungenfunktion-transferkoeffizient,StructureDefinition/mii-pr-lungenfunktion-fev-fvc,StructureDefinition/mii-pr-lungenfunktion-dlcoc,StructureDefinition/mii-pr-lungenfunktion-widerstand,StructureDefinition/mii-pr-lungenfunktion-fluss,StructureDefinition/mii-pr-lungenfunktion-luftfeuchtigkeit,StructureDefinition/mii-pr-lungenfunktion-pef,StructureDefinition/mii-pr-lungenfunktion-ic,StructureDefinition/mii-pr-lungenfunktion-fvc,StructureDefinition/mii-pr-lungenfunktion-kco,StructureDefinition/mii-pr-lungenfunktion-frc,StructureDefinition/mii-pr-lungenfunktion-fev,StructureDefinition/mii-pr-lungenfunktion-r-effektiv","SCT"
http://hl7.org/fhir/ValueSet/clinical-findings,4.0.1,draft,"2.16.840.1.113883.4.642.3.232",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/mii-pr-lungenfunktion-bodyplethysmographie,StructureDefinition/mii-pr-lungenfunktion-spirometrie,StructureDefinition/mii-pr-lungenfunktion-provokationstest,StructureDefinition/mii-pr-lungenfunktion-diffusion,StructureDefinition/mii-pr-lungenfunktion-befund","SCT"
http://hl7.org/fhir/ValueSet/common-tags,4.0.1,draft,"2.16.840.1.113883.4.642.3.79",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","StructureDefinition/mii-pr-lungenfunktion-rvl,StructureDefinition/mii-pr-lungenfunktion-gewicht,StructureDefinition/mii-pr-lungenfunktion-kcoc,StructureDefinition/mii-pr-lungenfunktion-spirometrie,StructureDefinition/mii-pr-lungenfunktion-spirometrie-messung,StructureDefinition/mii-pr-lungenfunktion-prozent,StructureDefinition/mii-pr-lungenfunktion-tlc,StructureDefinition/mii-pr-lungenfunktion-irv,StructureDefinition/mii-pr-lungenfunktion-sg-total,StructureDefinition/mii-pr-lungenfunktion-provokationstest,StructureDefinition/mii-pr-lungenfunktion-diffusion,StructureDefinition/mii-pr-lungenfunktion-viskositaet,StructureDefinition/mii-pr-lungenfunktion-bodyplethysmographie-messung,StructureDefinition/mii-pr-lungenfunktion-va,StructureDefinition/mii-pr-lungenfunktion-r,StructureDefinition/mii-pr-lungenfunktion-vc,StructureDefinition/mii-pr-lungenfunktion-bodyplethysmographie,StructureDefinition/mii-pr-lungenfunktion-dosis-gabe,StructureDefinition/mii-pr-lungenfunktion-r-spezifisch,StructureDefinition/mii-pr-lungenfunktion-diffusionskapazitaet,StructureDefinition/mii-pr-lungenfunktion-umgebung,StructureDefinition/mii-pr-lungenfunktion-hb,StructureDefinition/mii-pr-lungenfunktion-dlco,StructureDefinition/mii-pr-lungenfunktion-methacholine,StructureDefinition/mii-pr-lungenfunktion-co2-konzentration,StructureDefinition/mii-pr-lungenfunktion-1-viskositaet,StructureDefinition/mii-pr-lungenfunktion-diffusion-messung,StructureDefinition/mii-pr-lungenfunktion-volumen,StructureDefinition/mii-pr-lungenfunktion-bf,StructureDefinition/mii-pr-lungenfunktion-mef,StructureDefinition/mii-pr-lungenfunktion-rvl-tlc,StructureDefinition/mii-pr-lungenfunktion-dosis,StructureDefinition/mii-pr-lungenfunktion-lufttemperatur,StructureDefinition/mii-pr-lungenfunktion-provokationstest-messung,StructureDefinition/mii-pr-lungenfunktion-transferkoeffizient,StructureDefinition/mii-pr-lungenfunktion-fev-fvc,StructureDefinition/mii-pr-lungenfunktion-dlcoc,StructureDefinition/mii-pr-lungenfunktion-widerstand,StructureDefinition/mii-pr-lungenfunktion-fluss,StructureDefinition/mii-pr-lungenfunktion-luftfeuchtigkeit,StructureDefinition/mii-pr-lungenfunktion-pef,StructureDefinition/mii-pr-lungenfunktion-ic,StructureDefinition/mii-pr-lungenfunktion-fvc,StructureDefinition/mii-pr-lungenfunktion-befund,StructureDefinition/mii-pr-lungenfunktion-kco,StructureDefinition/mii-pr-lungenfunktion-frc,StructureDefinition/mii-pr-lungenfunktion-fev,StructureDefinition/mii-pr-lungenfunktion-r-effektiv","THO"
http://hl7.org/fhir/ValueSet/condition-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.161",Condition/Problem/DiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/mii-pr-lungenfunktion-provokationstest-messung,StructureDefinition/mii-pr-lungenfunktion-spirometrie-messung,StructureDefinition/mii-pr-lungenfunktion-diffusion-messung,StructureDefinition/mii-pr-lungenfunktion-bodyplethysmographie-messung","SCT"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/mii-pr-lungenfunktion-rvl,StructureDefinition/mii-pr-lungenfunktion-gewicht,StructureDefinition/mii-pr-lungenfunktion-kcoc,StructureDefinition/mii-pr-lungenfunktion-prozent,StructureDefinition/mii-pr-lungenfunktion-tlc,StructureDefinition/mii-pr-lungenfunktion-irv,StructureDefinition/mii-pr-lungenfunktion-sg-total,StructureDefinition/mii-pr-lungenfunktion-viskositaet,StructureDefinition/mii-pr-lungenfunktion-va,StructureDefinition/mii-pr-lungenfunktion-r,StructureDefinition/mii-pr-lungenfunktion-vc,StructureDefinition/mii-pr-lungenfunktion-r-spezifisch,StructureDefinition/mii-pr-lungenfunktion-diffusionskapazitaet,StructureDefinition/mii-pr-lungenfunktion-hb,StructureDefinition/mii-pr-lungenfunktion-dlco,StructureDefinition/mii-pr-lungenfunktion-co2-konzentration,StructureDefinition/mii-pr-lungenfunktion-1-viskositaet,StructureDefinition/mii-pr-lungenfunktion-volumen,StructureDefinition/mii-pr-lungenfunktion-bf,StructureDefinition/mii-pr-lungenfunktion-mef,StructureDefinition/mii-pr-lungenfunktion-rvl-tlc,StructureDefinition/mii-pr-lungenfunktion-dosis,StructureDefinition/mii-pr-lungenfunktion-lufttemperatur,StructureDefinition/mii-pr-lungenfunktion-transferkoeffizient,StructureDefinition/mii-pr-lungenfunktion-fev-fvc,StructureDefinition/mii-pr-lungenfunktion-dlcoc,StructureDefinition/mii-pr-lungenfunktion-widerstand,StructureDefinition/mii-pr-lungenfunktion-fluss,StructureDefinition/mii-pr-lungenfunktion-luftfeuchtigkeit,StructureDefinition/mii-pr-lungenfunktion-pef,StructureDefinition/mii-pr-lungenfunktion-ic,StructureDefinition/mii-pr-lungenfunktion-fvc,StructureDefinition/mii-pr-lungenfunktion-kco,StructureDefinition/mii-pr-lungenfunktion-frc,StructureDefinition/mii-pr-lungenfunktion-fev,StructureDefinition/mii-pr-lungenfunktion-r-effektiv","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/mii-pr-lungenfunktion-umgebung","hl7.fhir.r4.core"
