Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-lungenfunktion.json	58029	-	0	0	0	0	0	0	16	395	0	0	0	0	0	0	0	1	0	0	35	169	974	0	0	0	7	0	4
fsh-generated/resources/CapabilityStatement-mii-cps-lungenfunktion-capabilitystatement.json	56905	11	0	0	1	0	0	0	4	568	0	0	0	0	0	0	0	1	0	0	16	123	137	0	1	0	3	0	1
fsh-generated/resources/DiagnosticReport-mii-exa-lungenfunktion-bodyplethysmographie-befund.json	2551	2	0	0	0	0	0	0	0	678	0	0	0	0	0	0	0	0	0	0	7	27	111	0	0	0	0	0	1
fsh-generated/resources/DiagnosticReport-mii-exa-lungenfunktion-diffusion-befund.json	1940	1	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	8	11	55	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-mii-exa-lungenfunktion-provokationstest-befund.json	3194	2	0	0	0	0	0	0	1	83	0	0	0	0	0	0	0	0	0	0	7	17	119	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-mii-exa-lungenfunktion-spirometrie-befund.json	2142	1	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	6	12	57	0	0	0	0	0	0
fsh-generated/resources/Encounter-mii-exa-lungenfunktion-kontakt.json	309	1	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	5	3	15	0	0	0	0	0	0
fsh-generated/resources/Location-mii-exa-lungenfunktion-location.json	700	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	4	5	10	0	0	0	0	0	0
fsh-generated/resources/Medication-mii-exa-lungenfunktion-methacholine.json	1438	1	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	4	6	13	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-mii-exa-lungenfunktion-dosis-gabe-1.json	759	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	5	30	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-mii-exa-lungenfunktion-dosis-gabe-2.json	759	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	5	25	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-mii-exa-lungenfunktion-dosis-gabe-3.json	759	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	6	25	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-bf.json	1652	1	0	0	0	0	0	0	1	71	0	0	0	0	0	0	0	0	0	0	4	6	26	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-co2.json	1066	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	5	19	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-dlco.json	2772	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	27	25	0	0	0	0	0	0
fsh-generated/resources/Observation-mii-exa-lungenfunktion-dlcoc.json	2943	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	11	35	0	0	0	0	0	0
