property	pre	post	verdict
identity.id	mii-ig-lungenfunktion	mii-ig-lungenfunktion	unchanged
identity.canonical	https://www.medizininformatik-initiative.de/fhir/ext/modul-lungenfunktion	https://www.medizininformatik-initiative.de/fhir/ext/modul-lungenfunktion	unchanged
identity.packageId	de.medizininformatikinitiative.kerndatensatz.lungenfunktion	de.medizininformatikinitiative.kerndatensatz.lungenfunktion	unchanged
identity.name	MII_IG_Lungenfunktion	MII_IG_Lungenfunktion	unchanged
identity.version	2027.0.0-ballot	2027.0.0-ballot	unchanged
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.calver	true	true	unchanged
identity.publisher	Medizininformatik Initiative	Medizininformatik Initiative	unchanged
identity.status	active	active	unchanged
identity.title	-	MII IG Kerndatensatz-Modul Lungenfunktion	not-measurable
licence.contradictory	false	false	unchanged
dependency_health.injection_risk	true	false	improved
narrative_sources.dual_source	false	true	REGRESSION
mode	static	static	unchanged
artifacts.profiles	48	48	unchanged
artifacts.extensions	0	0	unchanged
artifacts.valuesets	32	32	unchanged
artifacts.codesystems	0	0	unchanged
artifacts.logicals	1	1	unchanged
artifacts.capabilitystatements	1	1	unchanged
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	0	0	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	63	63	unchanged
artifacts.rulesets	24	55	expected-change
artifacts.invariants	0	0	unchanged
artifacts.mappings	1	1	unchanged
artifacts.other_total	0	0	unchanged
artifacts.total	145	145	unchanged
narrative.pages	47	63	expected-change
narrative.intro_note_pages	0	38	expected-change
narrative.translation_pages	0	16	expected-change
directives.total	694	694	unchanged
